event,key,key_hold_time,timestamp,inter_key_delay,is_backspace,session_time_of_day,user_id,session_id
release,Key.enter,0.0,1750044338.918,,,,user1,s3
press,Key.enter,,1750044343.677,0.0,0.0,0.372,user1,s3
release,Key.enter,0.076,1750044343.753,,,,user1,s3
press,i,,1750044346.37,2.693,0.0,0.3721,user1,s3
release,i,0.047,1750044346.417,,,,user1,s3
press,p,,1750044346.58,0.21,0.0,0.3721,user1,s3
release,p,0.052,1750044346.633,,,,user1,s3
press,a,,1750044346.782,0.201,0.0,0.3721,user1,s3
release,a,0.066,1750044346.848,,,,user1,s3
press,d,,1750044347.108,0.326,0.0,0.3721,user1,s3
release,d,0.064,1750044347.172,,,,user1,s3
press,s,,1750044347.304,0.196,0.0,0.3721,user1,s3
release,s,0.051,1750044347.355,,,,user1,s3
press,Key.space,,1750044347.423,0.119,0.0,0.3721,user1,s3
release,Key.space,0.054,1750044347.477,,,,user1,s3
press,a,,1750044347.63,0.207,0.0,0.3721,user1,s3
release,a,0.057,1750044347.687,,,,user1,s3
press,r,,1750044347.931,0.301,0.0,0.3721,user1,s3
release,r,0.019,1750044347.95,,,,user1,s3
press,e,,1750044348.09,0.16,0.0,0.3721,user1,s3
release,e,0.076,1750044348.167,,,,user1,s3
press,Key.space,,1750044348.381,0.291,0.0,0.3721,user1,s3
release,Key.space,0.064,1750044348.445,,,,user1,s3
press,d,,1750044348.58,0.199,0.0,0.3721,user1,s3
release,d,0.055,1750044348.635,,,,user1,s3
press,e,,1750044348.772,0.192,0.0,0.3721,user1,s3
release,e,0.04,1750044348.812,,,,user1,s3
press,s,,1750044348.941,0.169,0.0,0.3721,user1,s3
release,s,0.063,1750044349.004,,,,user1,s3
press,i,,1750044349.19,0.249,0.0,0.3721,user1,s3
release,i,0.03,1750044349.22,,,,user1,s3
press,g,,1750044349.467,0.277,0.0,0.3721,user1,s3
release,g,0.069,1750044349.536,,,,user1,s3
press,n,,1750044349.622,0.155,0.0,0.3721,user1,s3
release,n,0.064,1750044349.687,,,,user1,s3
press,e,,1750044349.851,0.228,0.0,0.3721,user1,s3
release,e,0.048,1750044349.898,,,,user1,s3
press,d,,1750044350.05,0.2,0.0,0.3721,user1,s3
release,d,0.053,1750044350.103,,,,user1,s3
press,Key.space,,1750044350.228,0.178,0.0,0.3721,user1,s3
release,Key.space,0.051,1750044350.279,,,,user1,s3
press,w,,1750044351.29,1.062,0.0,0.3721,user1,s3
release,w,0.045,1750044351.335,,,,user1,s3
press,i,,1750044351.475,0.185,0.0,0.3721,user1,s3
release,i,0.065,1750044351.54,,,,user1,s3
press,t,,1750044351.664,0.189,0.0,0.3721,user1,s3
release,t,0.072,1750044351.736,,,,user1,s3
press,h,,1750044351.78,0.116,0.0,0.3721,user1,s3
release,h,0.057,1750044351.837,,,,user1,s3
press,Key.space,,1750044351.979,0.199,0.0,0.3721,user1,s3
release,Key.space,0.067,1750044352.046,,,,user1,s3
press,t,,1750044352.161,0.182,0.0,0.3721,user1,s3
release,t,0.045,1750044352.206,,,,user1,s3
press,h,,1750044352.255,0.093,0.0,0.3721,user1,s3
release,h,0.061,1750044352.316,,,,user1,s3
press,e,,1750044352.43,0.176,0.0,0.3721,user1,s3
release,e,0.044,1750044352.474,,,,user1,s3
press,Key.space,,1750044352.496,0.066,0.0,0.3721,user1,s3
release,Key.space,0.05,1750044352.546,,,,user1,s3
press,m,,1750044352.762,0.266,0.0,0.3721,user1,s3
release,m,0.058,1750044352.82,,,,user1,s3
press,o,,1750044353.031,0.269,0.0,0.3721,user1,s3
release,o,0.037,1750044353.068,,,,user1,s3
press,s,,1750044353.164,0.133,0.0,0.3721,user1,s3
release,s,0.067,1750044353.232,,,,user1,s3
press,t,,1750044353.48,0.316,0.0,0.3721,user1,s3
release,t,0.032,1750044353.513,,,,user1,s3
press,Key.space,,1750044353.578,0.097,0.0,0.3721,user1,s3
release,Key.space,0.056,1750044353.633,,,,user1,s3
press,p,,1750044353.918,0.34,0.0,0.3721,user1,s3
release,p,0.049,1750044353.967,,,,user1,s3
press,o,,1750044354.17,0.252,0.0,0.3722,user1,s3
release,o,0.028,1750044354.198,,,,user1,s3
press,w,,1750044354.394,0.224,0.0,0.3722,user1,s3
release,w,0.077,1750044354.47,,,,user1,s3
press,e,,1750044354.556,0.162,0.0,0.3722,user1,s3
release,e,0.075,1750044354.63,,,,user1,s3
press,r,,1750044354.767,0.211,0.0,0.3722,user1,s3
release,r,0.029,1750044354.796,,,,user1,s3
press,f,,1750044354.95,0.183,0.0,0.3722,user1,s3
release,f,0.045,1750044354.994,,,,user1,s3
press,u,,1750044355.22,0.27,0.0,0.3722,user1,s3
release,u,0.034,1750044355.254,,,,user1,s3
press,l,,1750044355.538,0.318,0.0,0.3722,user1,s3
release,l,0.048,1750044355.586,,,,user1,s3
press,Key.space,,1750044355.827,0.289,0.0,0.3722,user1,s3
release,Key.space,0.046,1750044355.873,,,,user1,s3
press,t,,1750044357.202,1.375,0.0,0.3722,user1,s3
release,t,0.02,1750044357.222,,,,user1,s3
press,e,,1750044357.349,0.148,0.0,0.3722,user1,s3
release,e,0.058,1750044357.407,,,,user1,s3
press,c,,1750044357.592,0.243,0.0,0.3722,user1,s3
release,c,0.075,1750044357.668,,,,user1,s3
press,h,,1750044357.801,0.208,0.0,0.3722,user1,s3
release,h,0.035,1750044357.835,,,,user1,s3
press,n,,1750044357.981,0.181,0.0,0.3722,user1,s3
release,n,0.051,1750044358.033,,,,user1,s3
press,i,,1750044358.25,0.269,0.0,0.3722,user1,s3
release,i,0.051,1750044358.302,,,,user1,s3
press,c,,1750044358.46,0.209,0.0,0.3722,user1,s3
release,c,0.049,1750044358.509,,,,user1,s3
press,a,,1750044358.7,0.24,0.0,0.3722,user1,s3
release,a,0.041,1750044358.741,,,,user1,s3
press,l,,1750044358.849,0.149,0.0,0.3722,user1,s3
release,l,0.051,1750044358.9,,,,user1,s3
press,Key.space,,1750044359.049,0.2,0.0,0.3722,user1,s3
release,Key.space,0.049,1750044359.097,,,,user1,s3
press,s,,1750044359.27,0.221,0.0,0.3722,user1,s3
release,s,0.047,1750044359.317,,,,user1,s3
press,p,,1750044359.48,0.21,0.0,0.3722,user1,s3
release,p,0.041,1750044359.521,,,,user1,s3
press,e,,1750044359.634,0.154,0.0,0.3722,user1,s3
release,e,0.077,1750044359.712,,,,user1,s3
press,c,,1750044359.931,0.297,0.0,0.3722,user1,s3
release,c,0.022,1750044359.953,,,,user1,s3
press,i,,1750044360.103,0.171,0.0,0.3722,user1,s3
release,i,0.066,1750044360.169,,,,user1,s3
press,f,,1750044360.562,0.459,0.0,0.3722,user1,s3
release,f,0.044,1750044360.606,,,,user1,s3
press,i,,1750044360.703,0.141,0.0,0.3722,user1,s3
release,i,0.06,1750044360.763,,,,user1,s3
press,c,,1750044361.1,0.397,0.0,0.3722,user1,s3
release,c,0.039,1750044361.139,,,,user1,s3
press,a,,1750044361.342,0.242,0.0,0.3722,user1,s3
release,a,0.054,1750044361.396,,,,user1,s3
press,t,,1750044361.546,0.204,0.0,0.3722,user1,s3
release,t,0.054,1750044361.6,,,,user1,s3
press,i,,1750044361.94,0.394,0.0,0.3722,user1,s3
release,i,0.03,1750044361.97,,,,user1,s3
press,o,,1750044362.078,0.138,0.0,0.3722,user1,s3
release,o,0.071,1750044362.149,,,,user1,s3
press,n,,1750044362.33,0.252,0.0,0.3722,user1,s3
release,n,0.014,1750044362.344,,,,user1,s3
press,s,,1750044362.461,0.13,0.0,0.3722,user1,s3
release,s,0.062,1750044362.522,,,,user1,s3
press,Key.space,,1750044362.69,0.23,0.0,0.3722,user1,s3
release,Key.space,0.054,1750044362.744,,,,user1,s3
press,l,,1750044363.71,1.02,0.0,0.3723,user1,s3
release,l,0.016,1750044363.726,,,,user1,s3
press,i,,1750044363.925,0.215,0.0,0.3723,user1,s3
release,i,0.073,1750044363.998,,,,user1,s3
press,k,,1750044364.119,0.194,0.0,0.3723,user1,s3
release,k,0.056,1750044364.174,,,,user1,s3
press,e,,1750044364.31,0.192,0.0,0.3723,user1,s3
release,e,0.052,1750044364.362,,,,user1,s3
press,Key.space,,1750044364.422,0.112,0.0,0.3723,user1,s3
release,Key.space,0.043,1750044364.466,,,,user1,s3
press,e,,1750044364.611,0.189,0.0,0.3723,user1,s3
release,e,0.053,1750044364.664,,,,user1,s3
press,f,,1750044364.942,0.33,0.0,0.3723,user1,s3
release,f,0.031,1750044364.973,,,,user1,s3
press,f,,1750044365.063,0.121,0.0,0.3723,user1,s3
release,f,0.059,1750044365.122,,,,user1,s3
press,i,,1750044365.172,0.109,0.0,0.3723,user1,s3
release,i,0.073,1750044365.245,,,,user1,s3
press,c,,1750044365.363,0.191,0.0,0.3723,user1,s3
release,c,0.059,1750044365.421,,,,user1,s3
press,i,,1750044365.443,0.08,0.0,0.3723,user1,s3
release,i,0.069,1750044365.512,,,,user1,s3
press,e,,1750044365.78,0.337,0.0,0.3723,user1,s3
release,e,0.042,1750044365.822,,,,user1,s3
press,n,,1750044365.984,0.204,0.0,0.3723,user1,s3
release,n,0.057,1750044366.041,,,,user1,s3
press,t,,1750044366.231,0.248,0.0,0.3723,user1,s3
release,t,0.029,1750044366.261,,,,user1,s3
press,Key.space,,1750044366.329,0.098,0.0,0.3723,user1,s3
release,Key.space,0.053,1750044366.382,,,,user1,s3
press,a,,1750044367.19,0.861,0.0,0.3723,user1,s3
release,a,0.045,1750044367.234,,,,user1,s3
press,p,,1750044367.425,0.235,0.0,0.3723,user1,s3
release,p,0.044,1750044367.468,,,,user1,s3
press,p,,1750044367.555,0.13,0.0,0.3723,user1,s3
release,p,0.058,1750044367.613,,,,user1,s3
press,l,,1750044367.741,0.186,0.0,0.3723,user1,s3
release,l,0.055,1750044367.796,,,,user1,s3
press,e,,1750044367.954,0.213,0.0,0.3723,user1,s3
release,e,0.05,1750044368.004,,,,user1,s3
press,Key.space,,1750044368.088,0.134,0.0,0.3723,user1,s3
release,Key.space,0.045,1750044368.133,,,,user1,s3
press,p,,1750044368.542,0.454,0.0,0.3723,user1,s3
release,p,0.039,1750044368.581,,,,user1,s3
press,r,,1750044368.737,0.195,0.0,0.3723,user1,s3
release,r,0.067,1750044368.804,,,,user1,s3
press,o,,1750044368.946,0.209,0.0,0.3723,user1,s3
release,o,0.05,1750044368.996,,,,user1,s3
press,c,,1750044369.201,0.256,0.0,0.3723,user1,s3
release,c,0.068,1750044369.269,,,,user1,s3
press,e,,1750044369.447,0.246,0.0,0.3723,user1,s3
release,e,0.065,1750044369.512,,,,user1,s3
press,s,,1750044369.68,0.232,0.0,0.3723,user1,s3
release,s,0.054,1750044369.734,,,,user1,s3
press,s,,1750044369.817,0.138,0.0,0.3723,user1,s3
release,s,0.074,1750044369.892,,,,user1,s3
press,o,,1750044369.954,0.137,0.0,0.3723,user1,s3
release,o,0.06,1750044370.014,,,,user1,s3
press,r,,1750044370.157,0.203,0.0,0.3723,user1,s3
release,r,0.072,1750044370.229,,,,user1,s3
press,s,,1750044370.456,0.299,0.0,0.3723,user1,s3
release,s,0.064,1750044370.521,,,,user1,s3
press,Key.space,,1750044370.7,0.244,0.0,0.3723,user1,s3
release,Key.space,0.033,1750044370.733,,,,user1,s3
press,a,,1750044372.021,1.32,0.0,0.3724,user1,s3
release,a,0.031,1750044372.051,,,,user1,s3
press,n,,1750044372.131,0.111,0.0,0.3724,user1,s3
