event,key,key_hold_time,timestamp,inter_key_delay,is_backspace,session_time_of_day,user_id,session_id
release,Key.enter,0.0,1750044096.867,,,,user1,s2
press,h,,1750044102.085,0.0,0.0,0.3692,user1,s2
release,h,0.116,1750044102.201,,,,user1,s2
press,Key.cmd,,1750044103.948,1.863,0.0,0.3692,user1,s2
release,Key.cmd,0.105,1750044104.053,,,,user1,s2
press,Key.enter,,1750044116.638,12.69,0.0,0.3694,user1,s2
release,Key.enter,0.124,1750044116.762,,,,user1,s2
press,h,,1750044117.954,1.316,0.0,0.3694,user1,s2
release,h,0.111,1750044118.064,,,,user1,s2
press,e,,1750044118.156,0.202,0.0,0.3694,user1,s2
release,e,0.14,1750044118.296,,,,user1,s2
press,y,,1750044118.76,0.604,0.0,0.3694,user1,s2
release,y,0.093,1750044118.853,,,,user1,s2
press,Key.space,,1750044119.0,0.24,0.0,0.3694,user1,s2
release,Key.space,0.085,1750044119.086,,,,user1,s2
press,m,,1750044119.81,0.81,0.0,0.3694,user1,s2
release,m,0.132,1750044119.942,,,,user1,s2
press,y,,1750044120.497,0.687,0.0,0.3694,user1,s2
release,y,0.099,1750044120.597,,,,user1,s2
press,Key.space,,1750044120.89,0.393,0.0,0.3694,user1,s2
release,Key.space,0.061,1750044120.951,,,,user1,s2
press,n,,1750044121.67,0.78,0.0,0.3695,user1,s2
release,n,0.07,1750044121.74,,,,user1,s2
press,a,,1750044121.84,0.171,0.0,0.3695,user1,s2
release,a,0.115,1750044121.955,,,,user1,s2
press,m,,1750044122.082,0.242,0.0,0.3695,user1,s2
release,m,0.112,1750044122.194,,,,user1,s2
press,e,,1750044122.36,0.278,0.0,0.3695,user1,s2
release,e,0.168,1750044122.528,,,,user1,s2
press,Key.space,,1750044122.63,0.269,0.0,0.3695,user1,s2
release,Key.space,0.069,1750044122.699,,,,user1,s2
press,i,,1750044123.35,0.72,0.0,0.3695,user1,s2
release,i,0.125,1750044123.475,,,,user1,s2
press,s,,1750044123.801,0.45,0.0,0.3695,user1,s2
release,s,0.083,1750044123.883,,,,user1,s2
press,Key.space,,1750044124.094,0.294,0.0,0.3695,user1,s2
release,Key.space,0.077,1750044124.171,,,,user1,s2
press,d,,1750044124.49,0.396,0.0,0.3695,user1,s2
release,d,0.115,1750044124.605,,,,user1,s2
press,i,,1750044125.06,0.57,0.0,0.3695,user1,s2
release,i,0.069,1750044125.129,,,,user1,s2
press,v,,1750044125.391,0.331,0.0,0.3695,user1,s2
release,v,0.09,1750044125.481,,,,user1,s2
press,y,,1750044125.93,0.539,0.0,0.3695,user1,s2
release,y,0.053,1750044125.983,,,,user1,s2
press,a,,1750044126.18,0.25,0.0,0.3695,user1,s2
release,a,0.123,1750044126.303,,,,user1,s2
press,n,,1750044126.421,0.242,0.0,0.3695,user1,s2
release,n,0.083,1750044126.504,,,,user1,s2
press,s,,1750044126.663,0.241,0.0,0.3695,user1,s2
release,s,0.113,1750044126.775,,,,user1,s2
press,h,,1750044126.92,0.258,0.0,0.3695,user1,s2
release,h,0.052,1750044126.972,,,,user1,s2
press,Key.space,,1750044127.149,0.229,0.0,0.3695,user1,s2
release,Key.space,0.111,1750044127.26,,,,user1,s2
press,s,,1750044127.66,0.511,0.0,0.3695,user1,s2
release,s,0.094,1750044127.754,,,,user1,s2
press,i,,1750044127.887,0.227,0.0,0.3695,user1,s2
release,i,0.094,1750044127.981,,,,user1,s2
press,n,,1750044128.17,0.283,0.0,0.3695,user1,s2
release,n,0.09,1750044128.26,,,,user1,s2
press,g,,1750044128.48,0.31,0.0,0.3695,user1,s2
release,g,0.058,1750044128.538,,,,user1,s2
press,h,,1750044128.668,0.188,0.0,0.3695,user1,s2
release,h,0.097,1750044128.766,,,,user1,s2
press,Key.space,,1750044129.27,0.602,0.0,0.3695,user1,s2
release,Key.space,0.095,1750044129.365,,,,user1,s2
press,i,,1750044129.981,0.711,0.0,0.3695,user1,s2
release,i,0.064,1750044130.045,,,,user1,s2
press,Key.space,,1750044130.265,0.284,0.0,0.3696,user1,s2
release,Key.space,0.074,1750044130.339,,,,user1,s2
press,s,,1750044130.446,0.181,0.0,0.3696,user1,s2
release,s,0.088,1750044130.534,,,,user1,s2
press,t,,1750044131.032,0.585,0.0,0.3696,user1,s2
release,t,0.078,1750044131.109,,,,user1,s2
press,u,,1750044131.248,0.216,0.0,0.3696,user1,s2
release,u,0.104,1750044131.352,,,,user1,s2
press,d,,1750044131.54,0.292,0.0,0.3696,user1,s2
release,d,0.195,1750044131.735,,,,user1,s2
press,y,,1750044131.831,0.291,0.0,0.3696,user1,s2
release,y,0.102,1750044131.932,,,,user1,s2
press,Key.space,,1750044132.18,0.349,0.0,0.3696,user1,s2
release,Key.space,0.148,1750044132.328,,,,user1,s2
press,i,,1750044132.887,0.707,0.0,0.3696,user1,s2
release,i,0.336,1750044133.223,,,,user1,s2
press,n,,1750044133.398,0.511,0.0,0.3696,user1,s2
release,n,0.248,1750044133.645,,,,user1,s2
press,Key.space,,1750044133.82,0.422,0.0,0.3696,user1,s2
release,Key.space,0.168,1750044133.988,,,,user1,s2
press,c,,1750044135.44,1.62,0.0,0.3696,user1,s2
release,c,0.108,1750044135.548,,,,user1,s2
press,l,,1750044135.74,0.301,0.0,0.3696,user1,s2
release,l,0.115,1750044135.855,,,,user1,s2
press,a,,1750044136.49,0.75,0.0,0.3696,user1,s2
release,a,0.074,1750044136.564,,,,user1,s2
press,s,,1750044136.79,0.3,0.0,0.3696,user1,s2
release,s,0.074,1750044136.864,,,,user1,s2
press,s,,1750044137.001,0.211,0.0,0.3696,user1,s2
release,s,0.097,1750044137.097,,,,user1,s2
press,Key.space,,1750044137.533,0.533,0.0,0.3696,user1,s2
release,Key.space,0.121,1750044137.655,,,,user1,s2
press,1,,1750044139.04,1.507,0.0,0.3697,user1,s2
release,1,0.137,1750044139.177,,,,user1,s2
press,0,,1750044139.61,0.569,0.0,0.3697,user1,s2
release,0,0.112,1750044139.722,,,,user1,s2
press,t,,1750044140.024,0.414,0.0,0.3697,user1,s2
release,t,0.178,1750044140.201,,,,user1,s2
press,h,,1750044140.317,0.294,0.0,0.3697,user1,s2
release,h,0.103,1750044140.42,,,,user1,s2
press,Key.space,,1750044141.08,0.763,0.0,0.3697,user1,s2
release,Key.space,0.069,1750044141.149,,,,user1,s2
press,b,,1750044141.5,0.42,0.0,0.3697,user1,s2
release,b,0.058,1750044141.558,,,,user1,s2
press,",",,1750044143.213,1.713,0.0,0.3697,user1,s2
release,",",0.118,1750044143.332,,,,user1,s2
press,Key.backspace,,1750044143.9,0.687,1.0,0.3697,user1,s2
release,Key.backspace,0.126,1750044144.025,,,,user1,s2
press,Key.backspace,,1750044144.298,0.399,1.0,0.3697,user1,s2
release,Key.backspace,0.124,1750044144.423,,,,user1,s2
press,Key.backspace,,1750044144.672,0.374,1.0,0.3697,user1,s2
release,Key.backspace,0.133,1750044144.806,,,,user1,s2
press,f,,1750044150.714,6.041,0.0,0.3698,user1,s2
release,f,0.136,1750044150.85,,,,user1,s2
press,o,,1750044150.964,0.25,0.0,0.3698,user1,s2
release,o,0.089,1750044151.053,,,,user1,s2
press,r,,1750044151.265,0.301,0.0,0.3698,user1,s2
release,r,0.089,1750044151.353,,,,user1,s2
press,Key.space,,1750044151.448,0.183,0.0,0.3698,user1,s2
release,Key.space,0.071,1750044151.518,,,,user1,s2
press,t,,1750044152.214,0.766,0.0,0.3698,user1,s2
release,t,0.093,1750044152.307,,,,user1,s2
press,h,,1750044152.43,0.216,0.0,0.3698,user1,s2
release,h,0.11,1750044152.54,,,,user1,s2
press,e,,1750044152.786,0.355,0.0,0.3698,user1,s2
release,e,0.098,1750044152.884,,,,user1,s2
press,Key.space,,1750044152.957,0.171,0.0,0.3698,user1,s2
release,Key.space,0.072,1750044153.029,,,,user1,s2
press,r,,1750044153.518,0.561,0.0,0.3698,user1,s2
release,r,0.115,1750044153.633,,,,user1,s2
press,e,,1750044153.82,0.302,0.0,0.3698,user1,s2
release,e,0.096,1750044153.915,,,,user1,s2
press,m,,1750044154.251,0.431,0.0,0.3698,user1,s2
release,m,0.084,1750044154.335,,,,user1,s2
press,a,,1750044154.7,0.45,0.0,0.3698,user1,s2
release,a,0.084,1750044154.784,,,,user1,s2
press,i,,1750044154.984,0.284,0.0,0.3698,user1,s2
release,i,0.097,1750044155.08,,,,user1,s2
press,n,,1750044155.232,0.248,0.0,0.3698,user1,s2
release,n,0.094,1750044155.326,,,,user1,s2
press,i,,1750044155.466,0.234,0.0,0.3698,user1,s2
release,i,0.083,1750044155.548,,,,user1,s2
press,n,,1750044155.752,0.286,0.0,0.3698,user1,s2
release,n,0.078,1750044155.83,,,,user1,s2
press,g,,1750044156.109,0.357,0.0,0.3699,user1,s2
release,g,0.066,1750044156.175,,,,user1,s2
press,Key.space,,1750044156.237,0.128,0.0,0.3699,user1,s2
release,Key.space,0.063,1750044156.3,,,,user1,s2
press,p,,1750044156.74,0.504,0.0,0.3699,user1,s2
release,p,0.088,1750044156.828,,,,user1,s2
press,a,,1750044157.008,0.268,0.0,0.3699,user1,s2
release,a,0.12,1750044157.128,,,,user1,s2
press,r,,1750044157.4,0.392,0.0,0.3699,user1,s2
release,r,0.062,1750044157.462,,,,user1,s2
press,t,,1750044157.633,0.233,0.0,0.3699,user1,s2
release,t,0.064,1750044157.697,,,,user1,s2
press,Key.space,,1750044157.831,0.198,0.0,0.3699,user1,s2
release,Key.space,0.052,1750044157.883,,,,user1,s2
press,o,,1750044158.42,0.589,0.0,0.3699,user1,s2
release,o,0.059,1750044158.479,,,,user1,s2
press,f,,1750044158.66,0.24,0.0,0.3699,user1,s2
release,f,0.055,1750044158.714,,,,user1,s2
press,Key.space,,1750044158.84,0.18,0.0,0.3699,user1,s2
release,Key.space,0.049,1750044158.888,,,,user1,s2
press,m,,1750044159.099,0.259,0.0,0.3699,user1,s2
release,m,0.057,1750044159.156,,,,user1,s2
press,y,,1750044159.746,0.646,0.0,0.3699,user1,s2
release,y,0.08,1750044159.826,,,,user1,s2
