timestamp,key_hold_time,inter_key_delay,is_backspace,mouse_speed,click_event,session_time_of_day_x,session_time_of_day_y
0.06,0.0512,0.4,1,1221.28,0,0.75,0.75
0.13,0.0475,0.1,1,1143.88,1,0.75,0.75
0.21,0.0598,0.7,0,987.39,1,0.75,0.75
0.29,0.0433,0.02,1,1367.23,1,0.75,0.75
0.36,0.0611,0.1,1,1090.44,1,0.75,0.75
0.44,0.0589,0.02,0,1200.78,0,0.75,0.75
0.53,0.0422,0.02,1,990.23,1,0.75,0.75
0.61,0.0731,0.4,0,1344.55,1,0.75,0.75
0.7,0.0664,0.7,1,1305.92,1,0.75,0.75
0.78,0.0456,0.1,1,1011.67,0,0.75,0.75
0.85,0.0602,0.02,1,1109.01,0,0.75,0.75
0.93,0.0548,0.1,0,1230.55,1,0.75,0.75
1.0,0.0523,0.02,1,1177.33,1,0.75,0.75
1.08,0.0499,0.02,1,1289.45,0,0.75,0.75
1.15,0.0633,0.4,0,1401.78,1,0.75,0.75
1.23,0.0462,0.02,1,1256.1,1,0.75,0.75
1.3,0.0594,0.7,1,1322.0,0,0.75,0.75
