event,key,key_hold_time,timestamp,inter_key_delay,is_backspace,session_time_of_day,user_id,session_id
release,Key.enter,0.0,1750094565.151,,,,user1,s6
press,Key.enter,,1750094568.825,0.0,0.0,0.9533,user1,s6
release,Key.enter,0.094,1750094568.919,,,,user1,s6
press,a,,1750094570.603,1.777,0.0,0.9534,user1,s6
release,a,0.1,1750094570.703,,,,user1,s6
press,i,,1750094570.867,0.264,0.0,0.9534,user1,s6
release,i,0.047,1750094570.914,,,,user1,s6
press,Key.space,,1750094571.101,0.234,0.0,0.9534,user1,s6
release,Key.space,0.079,1750094571.18,,,,user1,s6
press,a,,1750094571.313,0.212,0.0,0.9534,user1,s6
release,a,0.049,1750094571.362,,,,user1,s6
press,u,,1750094571.503,0.191,0.0,0.9534,user1,s6
release,u,0.074,1750094571.577,,,,user1,s6
press,t,,1750094571.742,0.239,0.0,0.9534,user1,s6
release,t,0.068,1750094571.809,,,,user1,s6
press,o,,1750094571.898,0.156,0.0,0.9534,user1,s6
release,o,0.078,1750094571.976,,,,user1,s6
press,m,,1750094572.114,0.216,0.0,0.9534,user1,s6
release,m,0.071,1750094572.186,,,,user1,s6
press,a,,1750094572.304,0.19,0.0,0.9534,user1,s6
release,a,0.052,1750094572.356,,,,user1,s6
press,t,,1750094572.693,0.389,0.0,0.9534,user1,s6
release,t,0.051,1750094572.744,,,,user1,s6
press,i,,1750094572.883,0.19,0.0,0.9534,user1,s6
release,i,0.076,1750094572.958,,,,user1,s6
press,o,,1750094573.049,0.167,0.0,0.9534,user1,s6
release,o,0.094,1750094573.143,,,,user1,s6
press,n,,1750094573.267,0.218,0.0,0.9534,user1,s6
release,n,0.048,1750094573.316,,,,user1,s6
press,",",,1750094573.647,0.38,0.0,0.9534,user1,s6
release,",",0.064,1750094573.711,,,,user1,s6
press,Key.space,,1750094573.838,0.19,0.0,0.9534,user1,s6
release,Key.space,0.068,1750094573.906,,,,user1,s6
press,a,,1750094574.227,0.389,0.0,0.9534,user1,s6
release,a,0.132,1750094574.359,,,,user1,s6
press,l,,1750094574.426,0.199,0.0,0.9534,user1,s6
release,l,0.078,1750094574.503,,,,user1,s6
press,s,,1750094574.603,0.177,0.0,0.9534,user1,s6
release,s,0.06,1750094574.663,,,,user1,s6
press,o,,1750094574.794,0.191,0.0,0.9534,user1,s6
release,o,0.065,1750094574.859,,,,user1,s6
press,Key.space,,1750094575.001,0.207,0.0,0.9534,user1,s6
release,Key.space,0.06,1750094575.061,,,,user1,s6
press,k,,1750094575.422,0.421,0.0,0.9534,user1,s6
release,k,0.059,1750094575.481,,,,user1,s6
press,n,,1750094575.619,0.197,0.0,0.9534,user1,s6
