timestamp,key_hold_time,inter_key_delay,is_backspace,session_time_of_day_x,mouse_speed,click_event,session_time_of_day_y
1750083298.96,0.161,8.965,0.0,0.8229,0.0,0.0,0.0
1750083299.14,0.117,0.184,0.0,0.8229,0.0,0.0,0.0
1750083299.27,0.075,0.133,0.0,0.8229,0.0,0.0,0.0
1750083299.47,0.067,0.197,0.0,0.8229,0.0,0.0,0.0
1750083299.97,0.064,0.502,0.0,0.8229,0.0,0.0,0.0
1750083300.19,0.088,0.217,0.0,0.8229,0.0,0.0,0.0
1750083300.37,0.068,0.176,0.0,0.8229,0.0,0.0,0.0
1750083301.63,0.061,1.266,0.0,0.8229,0.0,0.0,0.0
1750083301.8,0.113,0.167,0.0,0.8229,0.0,0.0,0.0
1750083302.16,0.063,0.357,0.0,0.8229,0.0,0.0,0.0
1750083302.36,0.084,0.207,0.0,0.8229,0.0,0.0,0.0
1750083302.51,0.086,0.149,0.0,0.8229,0.0,0.0,0.0
1750083303.05,0.054,0.538,0.0,0.823,0.0,0.0,0.0
1750083306.79,0.019,3.742,1.0,0.823,0.0,0.0,0.0
1750083306.94,0.076,0.147,1.0,0.823,0.0,0.0,0.0
1750083307.65,0.096,0.716,0.0,0.823,0.0,0.0,0.0
1750083308.16,0.045,0.509,0.0,0.823,0.0,0.0,0.0
1750083308.37,0.047,0.205,0.0,0.823,0.0,0.0,0.0
1750083308.55,0.031,0.183,0.0,0.823,0.0,0.0,0.0
1750083308.76,0.054,0.208,0.0,0.823,0.0,0.0,0.0
1750083308.92,0.048,0.16,0.0,0.823,0.0,0.0,0.0
1750083309.1,0.071,0.177,0.0,0.823,0.0,0.0,0.0
1750083309.35,0.065,0.254,0.0,0.823,0.0,0.0,0.0
1750083309.51,0.049,0.157,0.0,0.823,0.0,0.0,0.0
1750083309.71,0.058,0.201,0.0,0.823,0.0,0.0,0.0
1750083310.31,0.047,0.6,0.0,0.823,0.0,0.0,0.0
1750083310.42,0.052,0.11,0.0,0.823,0.0,0.0,0.0
1750083310.7,0.079,0.281,0.0,0.823,0.0,0.0,0.0
1750083310.94,0.02,0.236,0.0,0.823,0.0,0.0,0.0
1750083311.17,0.051,0.233,0.0,0.823,0.0,0.0,0.0
1750083312.5,0.052,1.328,0.0,0.8231,0.0,0.0,0.0
1750083312.74,0.078,0.244,0.0,0.8231,0.0,0.0,0.0
1750083313.13,0.04,0.39,0.0,0.8231,0.0,0.0,0.0
1750083313.25,0.07,0.12,0.0,0.8231,0.0,0.0,0.0
1750083313.62,0.068,0.371,0.0,0.8231,0.0,0.0,0.0
1750083313.89,0.054,0.267,0.0,0.8231,0.0,0.0,0.0
1750083314.12,0.059,0.227,0.0,0.8231,0.0,0.0,0.0
