timestamp,key_hold_time,inter_key_delay,is_backspace,mouse_speed,click_event,session_time_of_day_x,session_time_of_day_y,label,user_id
0.0,0.07183903212115705,0.05047805568039956,0,27.546751720448064,0,0.5635,0.9193,0,user1
1.01,0.0830303188867791,0.0730619084925347,0,80.79412690581844,0,0.5635,0.9193,0,user1
2.01,0.07228094074598604,0.06370351198843888,0,44.27512188085907,0,0.5635,0.9193,0,user1
3.02,0.084458723596971,0.06408985092437439,0,17.969336325000654,0,0.5635,0.9193,0,user1
4.02,0.06960418650663805,0.048851621521819356,0,89.31101777123749,0,0.5635,0.9193,0,user1
5.03,0.08244933182555345,0.04416915638755668,0,97.41944876926753,0,0.5635,0.9193,0,user1
6.03,0.08000162387030797,0.06112909126874835,0,31.928859169977947,0,0.5635,0.9193,0,user1
7.04,0.07044666126831056,0.05560392136556157,0,72.67933365468619,0,0.5635,0.9193,0,user1
8.04,0.09220580380412774,0.03434632578190064,0,126.35836939446791,0,0.5635,0.9193,0,user1
9.05,0.08085283952334901,0.045972193714007493,0,68.26489875071191,0,0.5635,0.9193,0,user1
10.05,0.06397706727462028,0.03709048719429608,0,151.69181667734148,0,0.5635,0.9193,0,user1
11.06,0.07341830740563891,0.05901728051729582,0,93.18778736842266,0,0.5635,0.9193,0,user1
12.06,0.0747770917199617,0.04957611086219895,0,83.85022883744945,0,0.5635,0.9193,0,user1
13.07,0.06586834412921128,0.0284779157261614,0,109.41826045228711,0,0.5635,0.9193,0,user1
14.07,0.0768822014117063,0.06979511035766009,0,64.82053059249392,0,0.5635,0.9193,0,user1
15.08,0.09286163164304573,0.04841400951805363,0,162.08542084536668,0,0.5635,0.9193,0,user1
16.08,0.08895975091196599,0.0480508403020095,0,77.22917241592368,0,0.5635,0.9193,0,user1
17.09,0.0987071836114419,0.060729477764778286,0,50.03927245918362,1,0.5635,0.9193,0,user1
18.1,0.06949056217353718,0.052819461683063895,0,69.18908050890006,0,0.5635,0.9193,0,user1
19.1,0.08654781540369728,0.0475644317973025,0,50.411921854895006,0,0.5635,0.9193,0,user1
20.11,0.09863049328680862,0.039284380731190935,1,49.7426743634727,0,0.5635,0.9193,0,user1
21.11,0.09265541158911367,0.048327665546075496,0,105.23464808615338,0,0.5635,0.9193,0,user1
22.12,0.07548219268192573,0.044194929753901345,0,58.61072944300025,0,0.5635,0.9193,0,user1
23.12,0.06950212717489557,0.046977129685648024,0,61.798649246203055,0,0.5635,0.9193,0,user1
24.13,0.08075336396064722,0.042605077650167494,0,94.55500964797066,1,0.5635,0.9193,0,user1
25.13,0.07090165976955662,0.051391465121988986,0,137.00000217893043,0,0.5635,0.9193,0,user1
26.14,0.08960357194285698,0.0683695342607038,0,100.95988735254141,1,0.5635,0.9193,0,user1
27.14,0.07204136182580093,0.031964287504371754,0,126.64023059085753,0,0.5635,0.9193,0,user1
28.15,0.082382868619765,0.0745958256515116,0,35.074720138533536,0,0.5635,0.9193,0,user1
29.15,0.08571851150986132,0.04526718838566481,0,84.39397587384913,0,0.5635,0.9193,0,user1
30.16,0.08047002235796986,0.05734589613605438,0,114.74039154425986,0,0.5635,0.9193,0,user1
31.16,0.07162205361984406,0.04701013539380829,0,61.589275674613546,0,0.5635,0.9193,0,user1
32.17,0.08847521229360658,0.04961906191251632,0,63.6165714521373,0,0.5635,0.9193,0,user1
33.17,0.06999080024804331,0.04032278235303888,0,96.56777606849026,0,0.5635,0.9193,0,user1
34.18,0.08108868907588979,0.04312620667020797,0,94.6820093397297,1,0.5635,0.9193,0,user1
35.19,0.07335584682126178,0.056624788052619175,0,33.611183885198884,0,0.5635,0.9193,0,user1
36.19,0.07951465113479782,0.034812791012654346,0,0.0,0,0.5635,0.9193,0,user1
37.2,0.0939279393980378,0.04377207849872515,1,60.41429654760451,0,0.5635,0.9193,0,user1
38.2,0.07895871448302479,0.036974436608423644,0,155.97287458023243,0,0.5635,0.9193,0,user1
39.21,0.06376678545670625,0.06728427786050911,0,110.20399563815715,0,0.5635,0.9193,0,user1
40.21,0.08000524762989646,0.04039665145024833,0,106.81018111874843,0,0.5635,0.9193,0,user1
41.22,0.07945398798701929,0.048216804833414624,0,65.98425517449404,0,0.5635,0.9193,0,user1
42.22,0.0714914971964786,0.045534782217900846,0,114.47931952124475,0,0.5635,0.9193,0,user1
43.23,0.08888349338608321,0.049110944362338926,0,100.74267554083944,0,0.5635,0.9193,0,user1
44.23,0.07207144323736071,0.0528973995319373,0,76.71703056462133,0,0.5635,0.9193,0,user1
45.24,0.0748278822444767,0.0353378596019837,0,67.0567295253397,0,0.5635,0.9193,0,user1
46.24,0.08260055813507719,0.03874841428859364,0,70.34707755369429,0,0.5635,0.9193,0,user1
47.25,0.08824951431312382,0.04068267839132848,0,76.83226050236769,0,0.5635,0.9193,0,user1
48.25,0.06712618959437978,0.05256473174929449,0,59.57203936660606,0,0.5635,0.9193,0,user1
49.26,0.07894266915697763,0.03856896716471183,0,90.20476621348713,0,0.5635,0.9193,0,user1
50.26,0.08469974723702818,0.06275953041124116,0,72.29630752362412,0,0.5635,0.9193,0,user1
51.27,0.09270870671307876,0.042386599412257336,0,0.8445083524325696,0,0.5635,0.9193,0,user1
52.28,0.06017354620372362,0.058170410485054946,0,87.08135528197339,1,0.5635,0.9193,0,user1
53.28,0.07512323805143441,0.06025438971693916,0,95.74805357933474,0,0.5635,0.9193,0,user1
54.29,0.07542502452345197,0.05038317827685358,0,72.69376308833593,0,0.5635,0.9193,0,user1
55.29,0.07901740408073644,0.04164614091962653,0,77.19299255271908,0,0.5635,0.9193,0,user1
56.3,0.07503141410325004,0.0432842892814314,0,98.84029580950435,0,0.5635,0.9193,0,user1
57.3,0.07127916571602848,0.04702348429295246,0,102.31435065579898,0,0.5635,0.9193,0,user1
58.31,0.07757712016480592,0.0438295488551642,0,131.24404131600275,1,0.5635,0.9193,0,user1
59.31,0.0728701513464725,0.04403775899764682,0,77.90397135464994,0,0.5635,0.9193,0,user1
60.32,0.08254247000554016,0.052666371583446836,0,73.98517431225233,0,0.5635,0.9193,0,user1
61.32,0.07848048001683856,0.06626736314244061,0,136.8500742559246,0,0.5635,0.9193,0,user1
62.33,0.06898137455875503,0.034280403768585495,0,33.44319692138926,0,0.5635,0.9193,0,user1
63.33,0.08571137561161081,0.048020391955723545,0,80.21261250420115,0,0.5635,0.9193,0,user1
64.34,0.09061447813755628,0.043246246896540066,0,114.78706247824798,0,0.5635,0.9193,0,user1
