timestamp,key_hold_time,inter_key_delay,is_backspace,session_time_of_day_x,mouse_speed,click_event,session_time_of_day_y
1750044346.37,0.076,2.693,0.0,0.3721,0.0,0.0,0.0
1750044346.58,0.047,0.21,0.0,0.3721,0.0,0.0,0.0
1750044346.78,0.052,0.201,0.0,0.3721,0.0,0.0,0.0
1750044347.11,0.066,0.326,0.0,0.3721,0.0,0.0,0.0
1750044347.3,0.064,0.196,0.0,0.3721,0.0,0.0,0.0
1750044347.42,0.051,0.119,0.0,0.3721,0.0,0.0,0.0
1750044347.63,0.054,0.207,0.0,0.3721,0.0,0.0,0.0
1750044347.93,0.057,0.301,0.0,0.3721,0.0,0.0,0.0
1750044348.09,0.019,0.16,0.0,0.3721,0.0,0.0,0.0
1750044348.38,0.076,0.291,0.0,0.3721,0.0,0.0,0.0
1750044348.58,0.064,0.199,0.0,0.3721,0.0,0.0,0.0
1750044348.77,0.055,0.192,0.0,0.3721,0.0,0.0,0.0
1750044348.94,0.04,0.169,0.0,0.3721,0.0,0.0,0.0
1750044349.19,0.063,0.249,0.0,0.3721,0.0,0.0,0.0
1750044349.47,0.03,0.277,0.0,0.3721,0.0,0.0,0.0
1750044349.62,0.069,0.155,0.0,0.3721,0.0,0.0,0.0
1750044349.85,0.064,0.228,0.0,0.3721,0.0,0.0,0.0
1750044350.05,0.048,0.2,0.0,0.3721,0.0,0.0,0.0
1750044350.23,0.053,0.178,0.0,0.3721,0.0,0.0,0.0
1750044351.29,0.051,1.062,0.0,0.3721,0.0,0.0,0.0
1750044351.48,0.045,0.185,0.0,0.3721,0.0,0.0,0.0
1750044351.66,0.065,0.189,0.0,0.3721,0.0,0.0,0.0
1750044351.78,0.072,0.116,0.0,0.3721,0.0,0.0,0.0
1750044351.98,0.057,0.199,0.0,0.3721,0.0,0.0,0.0
1750044352.16,0.067,0.182,0.0,0.3721,0.0,0.0,0.0
1750044352.26,0.045,0.093,0.0,0.3721,0.0,0.0,0.0
1750044352.43,0.061,0.176,0.0,0.3721,0.0,0.0,0.0
1750044352.5,0.044,0.066,0.0,0.3721,0.0,0.0,0.0
1750044352.76,0.05,0.266,0.0,0.3721,0.0,0.0,0.0
1750044353.03,0.058,0.269,0.0,0.3721,0.0,0.0,0.0
1750044353.16,0.037,0.133,0.0,0.3721,0.0,0.0,0.0
1750044353.48,0.067,0.316,0.0,0.3721,0.0,0.0,0.0
1750044353.58,0.032,0.097,0.0,0.3721,0.0,0.0,0.0
1750044353.92,0.056,0.34,0.0,0.3721,0.0,0.0,0.0
1750044354.17,0.049,0.252,0.0,0.3722,0.0,0.0,0.0
1750044354.39,0.028,0.224,0.0,0.3722,0.0,0.0,0.0
1750044354.56,0.077,0.162,0.0,0.3722,0.0,0.0,0.0
1750044354.77,0.075,0.211,0.0,0.3722,0.0,0.0,0.0
1750044354.95,0.029,0.183,0.0,0.3722,0.0,0.0,0.0
1750044355.22,0.045,0.27,0.0,0.3722,0.0,0.0,0.0
1750044355.54,0.034,0.318,0.0,0.3722,0.0,0.0,0.0
1750044355.83,0.048,0.289,0.0,0.3722,0.0,0.0,0.0
1750044357.2,0.046,1.375,0.0,0.3722,0.0,0.0,0.0
1750044357.35,0.02,0.148,0.0,0.3722,0.0,0.0,0.0
1750044357.59,0.058,0.243,0.0,0.3722,0.0,0.0,0.0
1750044357.8,0.075,0.208,0.0,0.3722,0.0,0.0,0.0
1750044357.98,0.035,0.181,0.0,0.3722,0.0,0.0,0.0
1750044358.25,0.051,0.269,0.0,0.3722,0.0,0.0,0.0
1750044358.46,0.051,0.209,0.0,0.3722,0.0,0.0,0.0
1750044358.7,0.049,0.24,0.0,0.3722,0.0,0.0,0.0
1750044358.85,0.041,0.149,0.0,0.3722,0.0,0.0,0.0
1750044359.05,0.051,0.2,0.0,0.3722,0.0,0.0,0.0
1750044359.27,0.049,0.221,0.0,0.3722,0.0,0.0,0.0
1750044359.48,0.047,0.21,0.0,0.3722,0.0,0.0,0.0
1750044359.63,0.041,0.154,0.0,0.3722,0.0,0.0,0.0
1750044359.93,0.077,0.297,0.0,0.3722,0.0,0.0,0.0
1750044360.1,0.022,0.171,0.0,0.3722,0.0,0.0,0.0
1750044360.56,0.066,0.459,0.0,0.3722,0.0,0.0,0.0
1750044360.7,0.044,0.141,0.0,0.3722,0.0,0.0,0.0
1750044361.1,0.06,0.397,0.0,0.3722,0.0,0.0,0.0
1750044361.34,0.039,0.242,0.0,0.3722,0.0,0.0,0.0
1750044361.55,0.054,0.204,0.0,0.3722,0.0,0.0,0.0
1750044361.94,0.054,0.394,0.0,0.3722,0.0,0.0,0.0
1750044362.08,0.03,0.138,0.0,0.3722,0.0,0.0,0.0
1750044362.33,0.071,0.252,0.0,0.3722,0.0,0.0,0.0
1750044362.46,0.014,0.13,0.0,0.3722,0.0,0.0,0.0
1750044362.69,0.062,0.23,0.0,0.3722,0.0,0.0,0.0
1750044363.71,0.054,1.02,0.0,0.3723,0.0,0.0,0.0
1750044363.92,0.016,0.215,0.0,0.3723,0.0,0.0,0.0
1750044364.12,0.073,0.194,0.0,0.3723,0.0,0.0,0.0
1750044364.31,0.056,0.192,0.0,0.3723,0.0,0.0,0.0
1750044364.42,0.052,0.112,0.0,0.3723,0.0,0.0,0.0
1750044364.61,0.043,0.189,0.0,0.3723,0.0,0.0,0.0
1750044364.94,0.053,0.33,0.0,0.3723,0.0,0.0,0.0
1750044365.06,0.031,0.121,0.0,0.3723,0.0,0.0,0.0
1750044365.17,0.059,0.109,0.0,0.3723,0.0,0.0,0.0
1750044365.36,0.073,0.191,0.0,0.3723,0.0,0.0,0.0
1750044365.44,0.059,0.08,0.0,0.3723,0.0,0.0,0.0
1750044365.78,0.069,0.337,0.0,0.3723,0.0,0.0,0.0
1750044365.98,0.042,0.204,0.0,0.3723,0.0,0.0,0.0
1750044366.23,0.057,0.248,0.0,0.3723,0.0,0.0,0.0
1750044366.33,0.029,0.098,0.0,0.3723,0.0,0.0,0.0
1750044367.19,0.053,0.861,0.0,0.3723,0.0,0.0,0.0
1750044367.42,0.045,0.235,0.0,0.3723,0.0,0.0,0.0
1750044367.56,0.044,0.13,0.0,0.3723,0.0,0.0,0.0
1750044367.74,0.058,0.186,0.0,0.3723,0.0,0.0,0.0
1750044367.95,0.055,0.213,0.0,0.3723,0.0,0.0,0.0
1750044368.09,0.05,0.134,0.0,0.3723,0.0,0.0,0.0
1750044368.54,0.045,0.454,0.0,0.3723,0.0,0.0,0.0
1750044368.74,0.039,0.195,0.0,0.3723,0.0,0.0,0.0
1750044368.95,0.067,0.209,0.0,0.3723,0.0,0.0,0.0
1750044369.2,0.05,0.256,0.0,0.3723,0.0,0.0,0.0
1750044369.45,0.068,0.246,0.0,0.3723,0.0,0.0,0.0
1750044369.68,0.065,0.232,0.0,0.3723,0.0,0.0,0.0
1750044369.82,0.054,0.138,0.0,0.3723,0.0,0.0,0.0
1750044369.95,0.074,0.137,0.0,0.3723,0.0,0.0,0.0
1750044370.16,0.06,0.203,0.0,0.3723,0.0,0.0,0.0
1750044370.46,0.072,0.299,0.0,0.3723,0.0,0.0,0.0
1750044370.7,0.064,0.244,0.0,0.3723,0.0,0.0,0.0
1750044372.02,0.033,1.32,0.0,0.3724,0.0,0.0,0.0
1750044372.13,0.031,0.111,0.0,0.3724,0.0,0.0,0.0
1750044372.35,0.051,0.219,0.0,0.3724,0.0,0.0,0.0
1750044372.47,0.04,0.116,0.0,0.3724,0.0,0.0,0.0
1750044373.49,0.046,1.024,0.0,0.3724,0.0,0.0,0.0
1750044373.7,0.038,0.213,0.0,0.3724,0.0,0.0,0.0
1750044374.18,0.042,0.477,0.0,0.3724,0.0,0.0,0.0
1750044374.31,0.038,0.131,0.0,0.3724,0.0,0.0,0.0
1750044374.5,0.062,0.192,0.0,0.3724,0.0,0.0,0.0
1750044374.66,0.058,0.155,0.0,0.3724,0.0,0.0,0.0
1750044374.81,0.065,0.154,0.0,0.3724,0.0,0.0,0.0
1750044375.05,0.051,0.239,0.0,0.3724,0.0,0.0,0.0
1750044375.29,0.019,0.24,0.0,0.3724,0.0,0.0,0.0
1750044375.56,0.047,0.273,0.0,0.3724,0.0,0.0,0.0
1750044375.8,0.04,0.236,0.0,0.3724,0.0,0.0,0.0
1750044376.1,0.047,0.297,0.0,0.3724,0.0,0.0,0.0
1750044376.29,0.058,0.196,0.0,0.3724,0.0,0.0,0.0
1750044376.5,0.055,0.208,0.0,0.3724,0.0,0.0,0.0
1750044376.88,0.033,0.374,0.0,0.3724,0.0,0.0,0.0
1750044378.2,0.038,1.324,0.0,0.3724,0.0,0.0,0.0
1750044378.43,0.033,0.226,0.0,0.3724,0.0,0.0,0.0
1750044378.62,0.057,0.194,0.0,0.3724,0.0,0.0,0.0
1750044378.73,0.039,0.111,0.0,0.3724,0.0,0.0,0.0
1750044379.03,0.066,0.298,0.0,0.3724,0.0,0.0,0.0
1750044379.27,0.061,0.243,0.0,0.3724,0.0,0.0,0.0
1750044379.51,0.065,0.242,0.0,0.3724,0.0,0.0,0.0
1750044379.73,0.077,0.219,0.0,0.3724,0.0,0.0,0.0
1750044380.45,0.052,0.717,0.0,0.3725,0.0,0.0,0.0
1750044380.69,0.056,0.241,0.0,0.3725,0.0,0.0,0.0
1750044381.49,0.043,0.8,0.0,0.3725,0.0,0.0,0.0
1750044381.62,0.07,0.134,0.0,0.3725,0.0,0.0,0.0
1750044381.89,0.049,0.262,0.0,0.3725,0.0,0.0,0.0
